,NUMBER,HoleId,From,To,X,Y,Z,AI,Cu%,Mo%,AgPPM,AuPPM,Pb%,Zn%,Al%,Asppm,Ca%,Fe%,K%,Mg%,Na%,S%,CUSS,CUCN,CUSS/CU%,IS,Mineralización,LITHO,LITHO por Nombre,SPI,BWI,LITMD,LITMD por Nombre,Sample ID,MINI-bond TEST
49,50,PO-11-058,186.0,189.0,205122.75,8398932.5,4790.465,3.0,3.178,0.013,6.4,1.127,0.002,0.024,1.07,30.0,1.52,50.01,0.92,1.0,0.09,2.46,0.48,1.055,0.15,0.48,Mixto,5,Skarn,43.33,9.54,3,Skarn,MX-MV033,0.0
50,51,PO-11-064,135.7,140.0,205148.62,8399024.4,4818.287,4.3,1.646,0.005,9.6,1.356,0.105,0.336,1.64,30.0,3.86,41.38,0.98,1.0,0.05,2.38,0.213,0.543,0.13,0.46,Mixto,5,Skarn,45.65,8.48,3,Skarn,MX-MV034,0.0
51,52,PO-11-072,217.5,224.4,205174.49,8399116.3,4846.109,6.9,0.292,0.001,5.0,0.093,0.019,0.063,2.68,90.0,15.0,10.5,0.37,2.0,0.03,1.75,0.016,0.046,0.05,0.21,Hipógeno,1,Limestone,119.78,15.08,3,Skarn,MX-MV035,0.0
52,53,PO-11-079,114.0,117.8,205200.36,8399208.2,4873.931,3.8,0.416,0.013,2.2,0.262,0.066,0.066,6.22,30.0,5.56,14.17,2.36,1.0,0.42,0.52,0.082,0.167,0.2,0.6,Mixto,4,Endoskarn,80.0,15.88,3,Skarn,MX-MV036,0.0
53,54,PO-11-094,150.0,153.0,205226.23,8399300.1,4901.753,3.0,3.048,0.001,4.7,2.763,0.003,0.018,1.51,30.0,3.25,43.57,1.41,2.0,0.09,2.56,0.288,0.667,0.09,0.31,Mixto,5,Skarn,27.82,12.8,3,Skarn,MX-MV037,0.0
54,55,PO-11-101,214.0,216.9,205252.1,8399392.0,4929.575,2.9,1.37,0.002,24.8,0.547,0.023,0.065,1.65,180.0,8.11,34.8,0.56,1.0,0.06,1.48,0.132,0.282,0.1,0.3,Mixto,5,Skarn,52.52,12.44,3,Skarn,MX-MV038,1.0
55,56,PO-12-132,174.0,177.2,205277.97,8399483.9,4957.397,3.2,0.184,0.017,0.7,0.097,0.004,0.014,2.94,30.0,5.42,23.19,1.41,2.0,0.85,0.23,0.021,0.04,0.11,0.33,Mixto,5,Skarn,67.54,14.13,3,Skarn,MX-MV039,0.0
56,57,PO-12-130,88.7,91.9,205303.84,8399575.8,4985.219,3.2,0.105,0.004,0.5,0.063,0.001,0.011,4.71,50.0,11.67,9.621,1.03,5.0,0.73,0.1,0.015,0.035,0.14,0.48,Mixto,5,Skarn,96.49,16.52,3,Skarn,MX-MV040,0.0
57,58,PO-12-132,166.4,170.0,205329.71,8399667.7,5013.04099999999,3.6,0.23,0.01,1.0,0.1,0.013,0.066,1.76,140.0,13.58,14.17,0.73,2.0,0.05,0.82,0.027,0.051,0.12,0.34,Mixto,5,Skarn,94.02,14.09,3,Skarn,MX-MV041,0.0
58,59,PO-11-073,97.4,100.7,205355.58,8399759.6,5040.86299999999,3.3,0.195,0.073,0.7,0.067,0.002,0.01,7.58,50.0,7.91,5.241,1.37,2.0,2.01,0.28,0.008,0.017,0.04,0.13,Hipógeno,4,Endoskarn,215.2,20.21,3,Skarn,MX-MV042,0.0
59,60,PO-09-006,54.0,56.0,205381.45,8399851.5,5068.68499999999,2.0,0.122,0.002,0.5,0.063,0.009,0.081,1.27,30.0,5.39,38.89,0.54,3.0,0.06,0.2,0.007,0.022,0.06,0.24,Hipógeno,5,Skarn,81.81,11.36,3,Skarn,HY-MV001,1.0
60,61,PO-09-009,81.0,83.4,205407.32,8399943.4,5096.507,2.4,0.542,0.001,8.6,0.107,0.043,0.118,0.76,30.0,6.93,37.97,0.12,1.0,0.05,1.14,0.014,0.072,0.03,0.16,Hipógeno,5,Skarn,137.37,17.75,3,Skarn,HY-MV002,0.0
61,62,PO-09-012,52.0,55.5,205433.19,8400035.3,5124.32899999999,3.5,1.488,0.006,5.0,0.69,0.006,0.079,1.13,60.0,6.82,32.06,0.2,2.0,0.03,1.52,0.215,0.405,0.14,0.42,Mixto,5,Skarn,90.42,14.15,3,Skarn,HY-MV003,0.0
62,63,PO-09-013,51.3,56.0,205459.06,8400127.2,5152.15099999999,4.7,0.955,0.003,3.2,0.26,0.005,0.035,1.13,30.0,6.4,36.34,0.17,1.0,0.04,0.81,0.161,0.22,0.17,0.4,Mixto,5,Skarn,78.78,10.55,3,Skarn,HY-MV004,1.0
63,64,PO-11-082,26.3,30.0,205484.93,8400219.1,5179.97299999999,3.7,0.311,0.076,6.2,0.099,0.041,0.097,1.15,50.0,8.1,26.92,0.4,3.0,0.11,0.7,0.012,0.044,0.04,0.18,Hipógeno,5,Skarn,151.76,18.0,3,Skarn,HY-MV005,0.0
64,65,PO-10-021,65.1,68.0,205510.8,8400311.0,5207.79499999999,2.9,0.334,0.004,1.0,0.131,0.004,0.017,4.56,30.0,12.68,14.57,0.58,4.0,0.7,0.37,0.022,0.05,0.07,0.22,Hipógeno,5,Skarn,129.44,17.3,3,Skarn,HY-MV006,0.0
65,66,PO-10-031,141.0,144.0,205536.67,8400402.9,5235.61699999999,3.0,2.045,0.086,8.2,0.698,0.017,0.049,1.84,30.0,11.87,17.05,0.92,4.0,0.05,2.62,0.057,0.119,0.03,0.09,Hipógeno,5,Skarn,122.05,16.2,3,Skarn,HY-MV007,0.0
